retardo_ms,timeout_s,repeticion,codigo_http,latencia_ms
0,1.0,1,201,151.9
0,1.0,1,201,133.9
0,1.0,1,201,136.9
0,1.0,1,201,151.5
0,1.0,1,201,163.0
0,1.0,1,201,223.9
0,1.0,1,201,231.5
0,1.0,1,201,248.4
0,1.0,1,201,212.8
0,1.0,1,201,194.3
0,1.0,1,201,214.4
0,1.0,1,201,378.9
0,1.0,1,201,791.3
0,1.0,1,201,297.6
0,1.0,1,201,507.4
0,1.0,1,201,1344.6
0,1.0,1,201,369.5
0,1.0,1,201,1312.2
0,1.0,1,201,311.4
0,1.0,1,201,1274.9
0,1.0,1,201,340.4
0,1.0,1,201,260.2
0,1.0,1,201,377.0
0,1.0,1,201,311.4
0,1.0,1,201,448.5
0,1.0,1,201,275.6
0,1.0,1,201,414.7
0,1.0,1,201,234.3
0,1.0,1,201,408.6
0,1.0,1,201,258.4
0,1.0,1,201,1285.7
0,1.0,1,201,635.3
0,1.0,1,201,342.0
0,1.0,1,201,1168.5
0,1.0,1,201,558.6
0,1.0,1,201,444.7
0,1.0,1,201,259.4
0,1.0,1,201,468.8
0,1.0,1,201,1366.3
0,1.0,1,201,1211.8
0,1.0,1,201,331.8
0,1.0,1,201,309.2
0,1.0,1,201,480.9
0,1.0,1,201,213.6
0,1.0,1,201,275.5
0,1.0,1,201,582.8
0,1.0,1,201,431.6
0,1.0,1,201,388.9
0,1.0,1,201,400.9
0,1.0,1,201,714.0
0,1.0,1,201,624.3
0,1.0,1,201,170.2
0,1.0,1,201,493.1
0,1.0,1,201,262.4
0,1.0,1,201,169.4
0,1.0,1,201,1240.7
0,1.0,1,201,1239.3
0,1.0,1,201,1151.9
0,1.0,1,201,437.2
0,1.0,1,201,602.0
0,1.0,1,201,1002.7
0,1.0,1,201,462.1
0,1.0,1,201,973.2
0,1.0,1,201,105.5
0,1.0,1,201,132.2
0,1.0,1,201,131.4
0,1.0,1,201,931.2
0,1.0,1,201,912.1
0,1.0,1,201,712.1
0,1.0,1,201,218.4
0,1.0,1,201,231.2
0,1.0,1,201,528.3
0,1.0,1,201,174.6
0,1.0,1,201,902.9
0,1.0,1,201,105.2
0,1.0,1,201,208.0
0,1.0,1,201,341.0
0,1.0,1,201,130.8
0,1.0,1,201,1047.4
0,1.0,1,201,685.6
0,1.0,1,201,753.0
0,1.0,1,201,938.4
0,1.0,1,201,484.9
0,1.0,1,201,137.2
0,1.0,1,201,142.1
0,1.0,1,201,204.7
0,1.0,1,201,228.0
0,1.0,1,201,183.3
0,1.0,1,201,107.2
0,1.0,1,201,151.9
0,1.0,1,201,329.4
0,1.0,1,201,135.7
0,1.0,1,201,911.8
0,1.0,1,201,115.2
0,1.0,1,201,222.5
0,1.0,1,201,175.0
0,1.0,1,201,363.9
0,1.0,1,201,359.8
0,1.0,1,201,719.4
0,1.0,1,201,1075.1
0,1.0,1,201,197.3
0,1.0,1,201,942.7
0,1.0,1,201,223.4
0,1.0,1,201,951.5
0,1.0,1,201,402.2
0,1.0,1,201,210.7
0,1.0,1,201,349.8
0,1.0,1,201,570.7
0,1.0,1,201,790.1
0,1.0,1,201,670.7
0,1.0,1,201,204.3
0,1.0,1,201,593.9
0,1.0,1,201,322.4
0,1.0,1,201,646.5
0,1.0,1,201,217.9
0,1.0,1,201,391.0
0,1.0,1,201,244.9
0,1.0,1,201,433.3
0,1.0,1,201,293.9
0,1.0,1,201,282.9
0,1.0,1,201,222.7
0,1.0,1,201,207.1
0,1.0,1,201,274.6
0,1.0,1,201,291.9
0,1.0,1,201,257.7
0,1.0,1,201,391.5
0,1.0,1,201,192.2
0,1.0,1,201,194.4
0,1.0,1,201,196.6
0,1.0,1,201,219.0
0,1.0,1,201,274.5
0,1.0,1,201,192.6
0,1.0,1,201,187.3
0,1.0,1,201,145.8
0,1.0,1,201,212.9
0,1.0,1,201,272.6
0,1.0,1,201,152.4
0,1.0,1,201,162.2
0,1.0,1,201,81.3
0,1.0,1,201,112.1
0,1.0,1,201,107.7
0,1.0,1,201,116.1
0,1.0,1,201,201.0
0,1.0,1,201,111.1
0,1.0,1,201,88.0
0,1.0,1,201,148.1
0,1.0,1,201,78.0
0,1.0,1,201,120.0
0,1.0,1,201,87.6
0,1.0,1,201,76.9
0,2.0,1,201,236.9
0,2.0,1,201,240.8
0,2.0,1,201,248.9
0,2.0,1,201,1196.4
0,2.0,1,201,241.3
0,2.0,1,201,816.3
0,2.0,1,201,242.3
0,2.0,1,201,281.9
